Pokemon,Pokeball,HP%,Status,Noise,Catch_Rate,Weight,Type,Success_Rate,Avg_Capture_Probability,Std_Capture_Probability,Attempts
snorlax,pokeball,10,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.1,0.14,0.014,30
snorlax,pokeball,10,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.1,0.14,0.026,30
snorlax,pokeball,10,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.37,0.18,0.0,30
snorlax,pokeball,10,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.03,0.18,0.01,30
snorlax,pokeball,10,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.23,0.18,0.021,30
snorlax,pokeball,10,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.13,0.19,0.025,30
snorlax,pokeball,19,NONE,0.0,25,1014.1,"NORMAL, NONE",0.15,0.09,0.0,20
snorlax,pokeball,19,NONE,0.05,25,1014.1,"NORMAL, NONE",0.05,0.09,0.003,20
snorlax,pokeball,19,NONE,0.1,25,1014.1,"NORMAL, NONE",0.05,0.09,0.008,20
snorlax,pokeball,19,NONE,0.15,25,1014.1,"NORMAL, NONE",0.15,0.08,0.01,20
snorlax,pokeball,19,PARALYSIS,0.0,25,1014.1,"NORMAL, NONE",0.1,0.13,0.0,20
snorlax,pokeball,19,PARALYSIS,0.05,25,1014.1,"NORMAL, NONE",0.15,0.13,0.006,20
snorlax,pokeball,19,PARALYSIS,0.1,25,1014.1,"NORMAL, NONE",0.0,0.13,0.012,20
snorlax,pokeball,19,PARALYSIS,0.15,25,1014.1,"NORMAL, NONE",0.2,0.13,0.014,20
snorlax,pokeball,19,SLEEP,0.0,25,1014.1,"NORMAL, NONE",0.1,0.17,0.0,20
snorlax,pokeball,19,SLEEP,0.05,25,1014.1,"NORMAL, NONE",0.25,0.17,0.006,20
snorlax,pokeball,19,SLEEP,0.1,25,1014.1,"NORMAL, NONE",0.15,0.16,0.02,20
snorlax,pokeball,19,SLEEP,0.15,25,1014.1,"NORMAL, NONE",0.15,0.18,0.032,20
